Lasso,ElasticNet,Decision Tree,RandomForest,GradientBoostingRegressor,XGBoost
{'alpha': 0.01},"{'l1_ratio': 1.0, 'alpha': 0.01}","{'min_samples_split': 80, 'min_samples_leaf': 10, 'max_depth': 15}","{'random_state': 42, 'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_depth': 15}","{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_depth': 15, 'learning_rate': 0.1}","{'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 15, 'learning_rate': 0.1, 'gamma': 0.2}"
0.3916401815553246,0.3916401815553246,0.4447844457293854,0.49178291692000614,0.5264272929883129,0.5173664045679376
0.3889884553517565,0.3889884553517565,0.45137337602876115,0.49400335935208173,0.5556686382345577,0.5417845941159753
92396831834.04214,92396831834.04214,73154260527.2054,60776964437.95788,25998832504.28759,11046938967.731308
96118802996.9073,96118802996.9073,86304972222.26494,79598809295.0577,69898186050.58803,72082298139.99652
23.275888442993164,65.85996532440186,23.77420401573181,1539.7719168663025,4287.307281255722,1088.7120203971863
